front,back,hint,publishedAt
"andererseits","on the other hand","Einerseits ist es gefährlich, andererseits haben wir keine andere Möglichkeit.","2021-01-18T06:25:14.170Z"
"das Notebook","the notebook","","2021-01-18T09:24:26.223Z"
"der Teilzeitjob","the part time job","Ich kann mit dem Teilzeitjob gut umgehen.","2021-01-17T08:20:20.506Z"
"warhscheinlich","probably","Das ist sehr unwahrscheinlich.","2021-01-16T19:17:55.599Z"
"gemütlich","cozy","","2021-01-18T07:59:51.388Z"
"der Husten","the cough","Sie hat Husten.","2021-01-18T06:25:45.842Z"
"der Ruhestand","the retirement","","2021-01-17T09:26:07.157Z"
"prallen","bounce","","2021-02-02T06:41:40.264Z"
"verzeihen","forgive","","2021-01-31T20:30:45.367Z"
"Ufer","Shore","","2021-02-01T22:07:31.733Z"
"stelle","Job","","2021-02-01T22:09:16.730Z"
"tatsächlich / allerdings","indeed","","2021-02-09T14:22:59.120Z"
"kacken","to poop","","2021-02-09T09:16:48.313Z"
"schlucken","swallow","","2021-01-27T15:44:22.328Z"
"verzweifel","desperate","","2021-02-04T20:32:10.835Z"
"der Lebenslauf","the resume","","2021-02-08T09:32:16.822Z"
"wahr","true","","2021-01-31T21:03:29.320Z"
"Schicksals","destiny/fate","","2021-02-06T23:36:41.866Z"
"der wohnsitgeneinde","the residential authority","","2021-02-08T09:49:12.396Z"
"die belohnung","the reward","","2021-02-01T15:20:30.779Z"
"Wirtschaftsmagazine","Business magazines","","2021-02-08T09:58:29.106Z"
"aufgeregt","excited/aroused","","2021-01-26T11:43:20.098Z"
"das Gehalt","the salary","","2021-02-08T09:32:45.431Z"
"riesenrad","ferris wheel","","2021-02-06T09:33:53.035Z"
"Schwhore","Swear","","2021-02-08T17:00:39.103Z"
"riese","giant","","2021-02-08T16:52:40.602Z"
"Provision","Commission","","2021-02-07T14:11:28.049Z"
"die Ortskennzahl","the location code","","2021-02-07T23:46:35.727Z"
"notlüge","white lie/ honest lie","","2021-02-08T17:07:10.204Z"
"Schraubenzieher","Screwdriver","","2021-02-07T14:16:05.296Z"
"die Grenze","the border","","2021-02-08T10:08:17.551Z"
"das Vorstellungsgespräch","the interview","","2021-02-08T09:31:57.885Z"
"spontan","spontaneously","","2021-02-08T16:45:38.984Z"
"windig","windy","","2021-02-08T09:25:29.172Z"
"der Zeh","the toe","","2021-02-07T23:44:58.055Z"
"der Boxkampf","the boxing match","","2021-02-07T23:10:41.859Z"
"entspannter","more relaxed","","2021-01-19T12:49:27.072Z"
"sorglos","careless","","2021-02-07T14:10:03.401Z"
"der Reifendruck","the tire pressure","","2021-02-08T10:09:29.048Z"
"der Kontinent","the continent","","2021-02-08T10:06:07.126Z"
"informieren","inform","","2021-02-08T09:27:19.496Z"
"Sport treiben","Do sports","","2021-02-07T23:43:33.359Z"
"die schwache","the weak","","2021-02-07T23:38:08.823Z"
"der Zug","the train","","2021-02-07T23:08:32.975Z"
"  Die U-Bahn","  The subway","","2021-02-07T23:08:15.293Z"
"beliebtes","popular","","2021-02-01T22:06:46.862Z"
"beerdigung","funeral","","2021-02-06T19:05:24.568Z"
"Sportverein","Sports club","","2021-02-07T14:08:50.579Z"
"Schläger","Racket/Bat","","2021-02-07T14:07:21.991Z"
"Regendusche","Rain shower","","2021-02-07T14:04:20.193Z"
"sicherheitskontrolle","security control","","2021-02-07T14:02:29.802Z"
"fluechtlingen","refugees","","2021-02-06T19:23:49.976Z"
"Passagier","Passenger","","2021-02-07T14:05:41.127Z"
"Erfolg","Success","","2021-02-07T13:55:38.713Z"
"schicke","send","","2021-02-07T13:59:09.371Z"
"vermutung","assumption","","2021-02-01T10:10:21.047Z"
"trauerspiel","mourning game","","2021-02-06T19:25:03.710Z"
"Bohrmaschine","Drilling machine","","2021-02-07T14:16:38.232Z"
"immobilienfirma","real estate company","","2021-02-07T14:11:19.039Z"
"weiderholen","repeat","","2021-02-07T13:59:43.593Z"
"Mechatroniker","Mechatronics technician","","2021-02-07T13:54:14.989Z"
"Preisvorteile","Price advantages","","2021-02-07T13:47:48.899Z"
"Werbung","advertising","","2021-02-07T13:46:29.150Z"
"Verkehrsnachrichten","Traffic news","","2021-02-07T13:46:21.347Z"
"der Ziegel","the brick","","2021-02-04T12:54:37.267Z"
"polizeiwache","police station","","2021-02-06T12:21:21.419Z"
"hupen","honk","","2021-02-06T11:24:34.358Z"
"Mahlzeit","Enjoy the meal","","2021-02-07T00:29:27.517Z"
"zugänglich","accessible","","2021-01-30T23:27:36.635Z"
"beerdigen","bury","","2021-02-04T21:34:32.738Z"
"vertraum","trust","","2021-01-30T17:14:27.730Z"
"wahrscheinlichkeitsrechung","probability calculation","","2021-01-30T16:52:46.296Z"
"die Faust","the fist","","2021-01-27T07:40:07.153Z"
"die Beratung","the advice","","2021-01-20T13:58:36.087Z"
"Zeigefinger","index finger","","2021-01-26T14:45:37.960Z"
"Phantasie","Imagination/fantusy","","2021-02-07T00:18:46.719Z"
"der Rechtsanwalt","the lawyer","","2021-02-01T10:01:53.354Z"
"unnötigen","unnecessary","","2021-02-05T14:22:57.442Z"
"entlang","along/ along the river","","2021-02-04T12:05:59.737Z"
"besorgte","worried","","2021-02-04T12:56:09.425Z"
"beleuchtung","lighting","","2021-02-04T06:13:37.780Z"
"verfassungs","constitution","","2021-02-01T10:00:01.018Z"
"anstatt","instead of","","2021-02-06T12:22:00.685Z"
"Staub","dust","","2021-02-06T15:49:18.973Z"
"gebäude","building","","2021-02-06T17:29:02.149Z"
"deutlich/ Klar/ eindeuting","clear / clear / clear","","2021-02-02T09:26:41.479Z"
"zwinkern","wink","","2021-01-31T01:59:38.837Z"
"witz","joke","","2021-02-04T21:23:39.172Z"
"soldat","soldier","","2021-02-04T20:17:55.227Z"
"Einkaufsbummel","Shopping spree","","2021-02-04T06:12:57.599Z"
"Glasskuppel","Glass dome","","2021-02-04T06:12:00.932Z"
"auseinander ziehen","pull apart","","2021-02-01T10:17:47.131Z"
"Beweis","Proof","","2021-01-31T00:10:42.837Z"
"eifersuch","jealousy","","2021-01-31T20:22:14.419Z"
"breit","wide","","2021-02-01T22:07:10.780Z"
"geräumig","spacious","","2021-01-31T02:19:31.981Z"
"beerdigt","buried","","2021-02-04T21:34:38.917Z"
"mischen","mix","","2021-02-04T20:02:56.594Z"
"Schneeschlitten","Snow sled","","2021-02-03T07:31:53.917Z"
"gleichmäßig","evenly/uniformly","","2021-01-28T14:28:00.381Z"
"Bootausflug","Boat trip","","2021-02-04T06:12:40.469Z"
"Portemonnaie","Wallet","","2021-02-04T06:10:16.424Z"
"brennt","burns","","2021-01-26T10:26:04.064Z"
"empfindlich","sensitive","","2021-01-26T08:03:30.839Z"
"Verteidigung","Defense","","2021-02-01T10:00:57.939Z"
"schlampe","slut","","2021-01-31T20:58:22.708Z"
"miteinander/voneinander","with eachother / from each other","","2021-02-01T10:30:33.966Z"
"verzeih","forgive","","2021-01-31T20:30:17.422Z"
"tielnehmer","participants","","2021-01-31T21:35:23.996Z"
"hauptsache","main thing","","2021-02-01T21:25:13.816Z"
"gesüßt","sweetened","Der Tee ist gesüßt und schmeckt viel besser.","2021-01-27T06:41:53.290Z"
"Flüstern","whisper","Er musste flüstern, weil die anderen im Raum schliefen.","2021-01-26T14:13:03.745Z"
"makeloss/ einwandfrei","flawless","","2021-01-31T01:38:53.657Z"
"blödsinn","nonsense","","2021-01-29T07:03:23.449Z"
"vertrauen","trust","","2021-01-30T17:14:58.011Z"
"fernbedienung","remote control","","2021-01-27T07:02:12.841Z"
"gespürt","sensed","Ich habe die Kälte in der Luft gespürt.","2021-01-26T10:23:21.872Z"
"die Abteilung","the Department","In welcher Abteilung arbeiten Sie?","2021-01-17T09:21:11.024Z"
"unermessliche","immeasurable","","2021-01-27T15:25:20.688Z"
"eindringen","penetration","Die Kälte drang durch die offenen Fenster in den Raum ein.","2021-01-26T10:15:18.498Z"
"nachttischschublade","bedside drawer","","2021-01-28T17:47:18.212Z"
"wasserstrahl","water jet/water stream","","2021-01-28T14:20:03.029Z"
"Landebahn","Runway/landing strip","","2021-01-28T13:40:11.000Z"
"unberührt","untouched","","2021-01-30T23:42:01.651Z"
"grundlage","basis/base","","2021-01-22T10:42:45.750Z"
"bunt","colorful","","2021-01-27T10:06:15.923Z"
"reicht","smells","","2021-01-27T07:41:29.422Z"
"ferner","further","","2021-01-19T12:42:15.162Z"
"mehrheit","majority","","2021-01-27T18:27:55.373Z"
"streng","strict","","2021-01-26T11:35:06.288Z"
"weder (...noch...) ","neither (... nor ...)","Er ist weder hübsch, noch klug.","2021-01-16T19:19:33.418Z"
"Die Eigenschaft","The property","Die Eifersucht ist eine schlechte Eigenschaft.","2021-01-16T15:36:25.932Z"
"unterhaltsamer","more entertaining","Für diese Situationen rücken Lernkarten in den Vordergrund, weil sie den Prozess viel schneller, einfacher und unterhaltsamer machen.","2021-01-16T17:42:41.434Z"
"bisher","so far","","2021-01-26T11:49:40.192Z"
"enger","closer/tighter","","2021-01-26T10:24:06.855Z"
"drüben","over there","","2021-01-20T14:06:03.674Z"
"vorschlag","suggestion","","2021-01-21T17:58:05.776Z"
"Anbei","enclosed","","2021-01-27T08:13:18.838Z"
"Strahl","Beam/ray","","2021-01-27T07:57:07.751Z"
"gleichzeitig","at the same time","","2021-01-26T08:08:40.052Z"
"ziehen","pull","","2021-01-26T07:58:10.235Z"
"held","hero","","2021-01-27T19:32:15.224Z"
"Tiefpunkt","Low point","","2021-01-27T19:12:02.591Z"
"der Ferienheim","the holiday home","","2021-01-20T14:44:40.293Z"
"treppe","stairway/stairs","","2021-01-26T14:28:19.937Z"
"Schuss","shot","","2021-01-27T15:19:47.392Z"
"krass","extreme","","2021-01-29T07:57:57.193Z"
"hügel","hill","","2021-01-28T13:53:51.848Z"
"dunn","thin","","2021-01-28T08:45:33.834Z"
"erfunden","invented","","2021-01-19T22:05:34.453Z"
"Lösung","solution","","2021-01-27T08:15:34.707Z"
"der Daumen","the thumb","","2021-01-27T07:47:25.216Z"
"selbstsicher / zuversichtlich","confident","","2021-01-27T07:44:52.787Z"
"verformen","deform","","2021-01-27T07:17:34.542Z"
"Chirurge","Surgeon","","2021-01-26T21:19:15.172Z"
"der Therapeut","the therapist","","2021-01-27T06:38:13.586Z"
"herzschlag","heartbeat","","2021-01-26T07:59:21.526Z"
"gewarnt","warned","","2021-01-19T12:44:16.661Z"
"spender","donor","","2021-01-27T19:44:10.176Z"
"Geheimnis","secret","","2021-01-26T10:29:31.491Z"
"aufwaschen","Grow up","","2021-01-20T14:30:56.171Z"
"Riss","Crack/tear/rupture","","2021-01-26T11:52:27.704Z"
"schweißtropfen","drops of sweat","","2021-01-26T10:32:06.249Z"
"der Schweiß","the sweat","","2021-01-26T10:33:07.814Z"
"tröpfschen","drip","","2021-01-27T15:45:48.507Z"
"verdammt","damned/fucking/damn","","2021-01-27T15:26:46.146Z"
"Üben","to Practice","","2021-01-27T13:57:37.587Z"
"Kreis","Circle","","2021-01-27T13:54:36.986Z"
"bewege/umgezogen","move","","2021-01-26T10:16:49.711Z"
"das Kinn","the chin","","2021-01-26T10:18:46.374Z"
"retter","rescuer","","2021-01-23T22:12:03.830Z"
"das körperliche","the physical","","2021-01-22T21:30:02.894Z"
"Lüge","Lie","","2021-01-26T08:51:05.523Z"
"vereinbaren","arrange","","2021-01-22T23:21:36.123Z"
"beobachter","observer","","2021-01-26T08:15:23.110Z"
"berührt","touched","","2021-01-27T07:42:47.601Z"
"massierte","massaged","","2021-01-27T07:49:52.324Z"
"heftig","violently/rough","","2021-01-26T21:32:59.947Z"
"Therapoitin","Therapist","","2021-01-27T06:38:43.189Z"
"feuchtigkeit","moisture","","2021-01-26T07:50:29.829Z"
"bemarkbar","can be marked","","2021-01-26T07:58:48.046Z"
"flugbegliter","flight attendant","","2021-01-22T09:42:35.900Z"
"Gefängnis","Prison","","2021-01-20T14:52:30.044Z"
"gefertigte","manufactured","","2021-01-26T13:37:46.371Z"
"loch","hole","","2021-01-26T11:53:12.095Z"
"gesprächig","talkative","","2021-01-17T08:19:52.114Z"
"sinnlos","senseless","","2021-01-26T10:54:44.359Z"
"die körperzellen","the body cells","","2021-01-26T10:39:48.900Z"
"Sachen","stuff","","2021-01-20T14:06:32.045Z"
"fingerspitze","fingertip","","2021-01-26T10:13:26.416Z"
"der zunge","the tongue","","2021-01-26T10:07:15.987Z"
"geatmet","breathed","","2021-01-26T10:01:47.332Z"
"mutig","brave","","2021-01-24T20:30:52.822Z"
"das Waschbecken","the sink ","","2021-01-18T09:01:29.405Z"
"retten","save","","2021-01-22T09:51:01.788Z"
"einsamkeit","loneliness","","2021-01-22T10:25:15.840Z"
"verlautete","reported","","2021-01-19T12:44:53.891Z"
"atmen","to breathe","","2021-01-26T07:52:27.186Z"
"furchtbar","awful","","2021-01-18T07:59:26.461Z"
"gefährlich","dangerous","","2021-01-19T09:16:33.619Z"
"locker","easy/comfortable","","2021-01-21T08:15:34.350Z"
"Die Hauptrolle","The main role","","2021-01-20T14:51:01.668Z"
"Tagesablauf","daily routine","","2021-01-20T14:39:29.381Z"
"fazinierend","fascinating","","2021-01-20T14:33:44.704Z"
"Hilfssheriffs","Deputy sheriffs","","2021-01-20T14:37:50.894Z"
"die Badewanne","the bathtub","","2021-01-18T09:01:41.540Z"
"Vorschlag","suggestion","","2021-01-20T13:59:54.215Z"
"entdecken/erfunden","discover","","2021-01-20T08:18:20.142Z"
"leistungs","performance","","2021-01-22T09:47:46.754Z"
"leistung","power","","2021-01-22T09:48:02.459Z"
"Schminken","Make up","","2021-01-21T06:33:34.302Z"
"Trennung","separation","","2021-01-20T14:46:01.063Z"
